"Nombre de la dependencia","¿Cuenta con Inventario de Datos?","¿Cuenta con Plan de Apertura?","Número de conjuntos de datos publicados","Número de recursos de datos publicados","Última fecha de actualización"
"AGROASEMEX","Si","Si",14,14,2016-01-29
"AICM","Si","Si",2,2,2015-10-27
"API-ATM","No","No",17,17,2015-11-09
"API-COA","Si","Si",11,16,2015-11-27
"API-DB","Si","Si",6,14,2015-10-28
"API-ESE","No","Si",3,6,2016-01-14
"API-GYM","No","No",3,3,2015-10-27
"API-LZC","Si","Si",6,7,2015-10-27
"API-MZT","Si","Si",7,7,2015-10-31
"API-PCH","Si","Si",2,2,2015-12-18
"API-SCX","Si","Si",7,7,2016-02-05
"API-T","No","No",4,4,2016-01-08
"API-TAM","Si","Si",14,14,2015-10-27
"API-TUX","No","No",2,2,2015-12-19
"API-VER","Si","Si",2,2,2015-10-30
"API-VSA","Si","Si",7,7,2015-10-27
"API-ZLO","Si","No",14,14,2016-01-01
"Aeropuertos y Servicios Auxiliares","Si","Si",6,6,2016-01-19
"ASE Chihuahua","Si","Si",7,7,2015-11-24
"Ayuntamiento de Ciudad Juárez","No","No",7,7,2015-10-23
"Ayuntamiento de Minatitlán","Si","Si",16,16,2015-11-07
"Ayuntamiento de Puebla","Si","Si",83,83,2015-11-18
"Ayuntamiento de Reynosa","Si","No",4,4,2016-01-15
"Ayuntamiento de San Luis Potosí","No","No",3,6,2015-10-01
"Ayuntamiento de San Pedro Garza García","No","No",2,14,2015-10-01
"Ayuntamiento de Torreón","Si","Si",11,11,2015-12-02
"Ayuntamiento de Veracruz","Si","Si",6,7,2015-12-15
"Ayuntamiento de Xalapa","Si","Si",16,70,2016-01-28
"Ayuntamiento de Zapopan","No","No",6,20,2015-10-01
"BANCOMEXT","Si","Si",3,6,2015-10-28
"BANJERCITO","No","No",2,2,2015-10-24
"BIRMEX","Si","Si",6,6,2015-10-27
"Canal 11","Si","Si",2,2,2015-10-30
"CAPUFE","No","No",5,5,2015-11-23
"CDI","Si","Si",9,15,2015-12-02
"CENAPRED","No","No",14,14,2015-10-27
"CENATRA","Si","Si",4,4,2016-01-28
"Centro de Investigaciones y Estudios Superiores en Antropología Social","Si","Si",2,2,2015-10-27
"CFE","Si","Si",10,10,2016-01-19
"CIAD","Si","Si",5,23,2015-11-27
"CIATEC","Si","Si",7,7,2015-12-15
"CIATEJ","Si","Si",2,2,2015-11-05
"CIBNOR","No","No",8,12,2016-02-03
"CICESE","Si","Si",7,7,2015-10-28
"CICY","Si","Si",2,2,2015-11-26
"CIDETEQ","Si","Si",12,12,2015-11-25
"CIMAT","Si","No",44,44,2015-10-28
"CIMAV","Si","Si",4,4,2015-11-28
"CINETECA NACIONAL","Si","Si",9,9,2015-10-27
"CIO","Si","Si",2,2,2015-10-28
"Correos de México","Si","Si",30,61,2015-11-26
"CMM","Si","Si",14,14,2016-01-18
"CNSF","Si","Si",80,80,2015-12-03
