inst_slut, plan
pemex, Plan de Apertura Institucional de PEMEX
pgr, Plan de Apertura Institucional de PGR
imt, Plan de Apertura Institucional de IMT
fondo-de-cultura-economica, Plan de Apertura Institucional de Fondo de Cultura Económica 
ayuntamiento-de-veracruz, Plan de Apertura Institucional de Veracruz Municipio
ase-chihuahua, Plan de Apertura Institucional de ASE Chihuahua
semarnat, Plan de Apertura Institucional de SEMARNAT
api-coa, Plan de Apertura Institucional de API-COA
iepsa, Plan de Apertura Institucional de IEPSA
issfam, Plan de Apertura Institucional de ISSFAM
nafin, Plan de Apertura Institucional de NAFIN
presidencia, Plan de Apertura Institucional de Presidencia
procuraduria-agraria, Plan de Apertura Institucional de Procuraduría Agraria
ran, Plan de Apertura Institucional de RAN
sct, Plan de Apertura Institucional de SCT
sedatu, Plan de Apertura Institucional de sedatu
sener, Plan de Apertura Institucional de SENER
sep, Plan de Apertura Institucional de SEP
shcp, Plan de Apertura Institucional de SHCP
asa, Plan de Apertura Institucional de ASA
imss, Plan de Apertura Institucional de IMSS
conagua, Plan de Apertura Institucional de CONAGUA
centro-de-investigaciones-y-estudios-superiores-en-antropologia-social, Plan de Apertura Institucional de Centro de Investigaciones y Estudios Superiores en Antropología Social
coneval, Plan de Apertura Institucional de CONEVAL
issste, Plan de Apertura Institucional de ISSSTE
aicm, Plan de Apertura Institucional de AICM
api-db, Plan de Apertura Institucional de API-DB
sedesol, Plan de Apertura Institucional de SEDESOL
agroasemex, Plan de Apertura Institucional de AGROASEMEX
api-lzc, Plan de Apertura Institucional de API-LZC
api-tam, Plan de Apertura Institucional de API-TAM
api-ver, Plan de Apertura Institucional de API-VER
cfe, Plan de Apertura Institucional de CFE
hggea, Plan de Apertura Institucional de HGGEA
conampros, Plan de Apertura Institucional de CONAMPROS
iie, Plan de Apertura Institucional de IIE
inapesca, Plan de Apertura Institucional de INAPESCA
estado-de-veracruz, Plan de Apertura Institucional de Estado de Veracruz
inba, Plan de Apertura Institucional de INBA
inecol, Plan de Apertura Institucional de INECOL
inifap, Plan de Apertura Institucional de INIFAP
ipicyt, Plan de Apertura Institucional de IPICYT
conavi, Plan de Apertura Institucional de CONAVI
cnsf, Plan de Apertura Institucional de CNSF
colsan, Plan de Apertura Institucional de COLSAN
inah, Plan de Apertura Institucional de INAH
bancomext, Plan de Apertura Institucional de BANCOMEXT
ciatej, Plan de Apertura Institucional de CIATEJ
cicese, Plan de Apertura Institucional de CICESE
cmm, Plan de Apertura Institucional de CMM
cofaa, Plan de Apertura Institucional de COFAA
cofepris, Plan de Apertura Institucional de COFEPRIS
colpos, Plan de Apertura Institucional de COLPOS
conaza, Plan de Apertura Institucional de CONAZA
conocer, Plan de Apertura Institucional de CONOCER
crae, Plan de Apertura Institucional de CRAE
cre, Plan de Apertura Institucional de CRE
csaegro, Plan de Apertura Institucional de CSAEGRO
ech, Plan de Apertura Institucional de ECH
elccc, Plan de Apertura Institucional de ELCCC
fira, Plan de Apertura Institucional de FIRA
fonart, Plan de Apertura Institucional de FONART
profedet, Plan de Apertura Institucional de PROFEDET
ipn, Plan de Apertura Institucional de IPN
insp, Plan de Apertura Institucional de INSP
cicy, Plan de Apertura Institucional de CICY
lotenal, Plan de Apertura Institucional de LOTENAL
segob, Plan de Apertura Institucional de SEGOB
conapred, Plan de Apertura Institucional de CONAPRED
api-vsa, Plan de Apertura Institucional de API-VSA
cm, Plan de Apertura Institucional de CM
firco, Plan de Apertura Institucional de FIRCO
cimav, Plan de Apertura Institucional de CIMAV
api-pch, Plan de Apertura Institucional de API-PCH
api-mzt, Plan de Apertura Institucional de API-MZT
sagarpa, Plan de Apertura Institucional de SAGARPA
promexico-b8a8dff1-2cfa-4e63-ba3b-37b68c648a49, Plan de Apertura Institucional de PROMÉXICO
pronabive, Plan de Apertura Institucional de PRONABIVE
